SNR,Bit_Budget,K1,K2,K3,K4,Actual_Bits,Best_Reward
5.2,1222116,64,32,64,1024,764928,0.952226
5.3,1550203,64,32,2048,256,792576,0.954505
5.4,750047,32,32,32,4096,663552,0.95696
5.5,1570106,128,256,256,32,941568,0.959967
5.6,757208,64,32,32,128,754176,0.962421
5.7,1619234,256,32,32,2048,956928,0.965593
5.8,906391,128,64,32,32,873984,0.969397
5.9,1382813,128,32,64,512,861696,0.97236
6.0,1639062,256,64,32,128,975360,0.973171
6.1,1467267,128,32,1024,4096,890880,0.975148
6.2,950864,128,32,64,64,857088,0.976738
6.3,1070156,256,64,2048,2048,1018368,0.978201
6.4,789199,64,32,256,128,772608,0.977911
6.5,1402914,128,64,128,2048,895488,0.981385
6.6,1568063,256,64,1024,32,1003008,0.983298
6.7,1079471,256,128,256,128,1018368,0.984223
6.8,918373,128,64,1024,4096,915456,0.984665
6.9,1358716,256,128,2048,256,1038336,0.986463
7.0,1021909,256,64,64,2048,987648,0.987095
7.1,1780582,1024,256,64,2048,1233408,0.988375
7.2,1738524,2048,256,1024,4096,1357824,0.989155
7.3,1003955,256,64,32,128,975360,0.989601
7.4,1421399,512,256,32,2048,1128960,0.990726
7.5,841222,64,128,32,256,804864,0.987173
7.6,1334647,2048,64,1024,4096,1308672,0.992062
7.7,1696099,2048,256,128,1024,1336320,0.992879
7.8,924816,128,128,64,2048,913920,0.991082
7.9,1293808,1024,512,1024,64,1274880,0.993597
8.0,900884,128,64,512,64,900096,0.991496
8.1,854790,64,256,128,32,837120,0.989163
8.2,1439469,2048,1024,4096,32,1408512,0.994799
8.3,849553,64,256,256,512,849408,0.989481
8.4,1065394,256,128,4096,128,1042944,0.99362
8.5,1666245,4096,4096,1024,128,1546752,0.995653
8.6,736856,32,256,64,32,732672,0.983063
8.7,1727571,2048,512,1024,2048,1380864,0.995578
8.8,1279790,1024,512,512,2048,1276416,0.995391
8.9,1334115,1024,128,32,2048,1202688,0.995158
9.0,1430017,2048,1024,32,2048,1374720,0.995981
9.1,1269451,1024,128,4096,4096,1247232,0.995305
9.2,1370489,2048,512,256,4096,1370112,0.995998
9.3,1146267,512,128,4096,512,1144320,0.994919
9.4,1067983,256,256,256,1024,1047552,0.994523
9.5,1196673,512,512,2048,256,1185792,0.995252
9.6,1019471,256,64,512,128,999936,0.99392
9.7,1630738,2048,4096,4096,1024,1465344,0.996266
9.8,780466,64,64,32,128,778752,0.989534
9.9,1699989,2048,4096,64,512,1426944,0.996273
10.0,1503704,1024,2048,128,64,1305600,0.995923
10.1,998408,128,1024,32,32,972288,0.99337
10.2,1385986,2048,1024,32,64,1367040,0.996212
10.3,1272460,512,4096,1024,128,1251840,0.995431
10.4,778065,64,32,128,128,766464,0.988698
10.5,851810,64,256,128,2048,846336,0.990188
10.6,1665684,4096,2048,256,64,1508352,0.996487
10.7,1713286,4096,4096,128,1024,1532928,0.996508
10.8,1109150,256,256,2048,2048,1067520,0.994543
10.9,1434035,4096,128,32,2048,1399296,0.996027
11.0,1082336,256,256,4096,128,1067520,0.994543
11.1,1749592,4096,1024,64,128,1473024,0.996443
11.2,1748935,4096,2048,1024,128,1522176,0.996487
11.3,1025953,256,128,32,32,996864,0.994351
11.4,1234826,1024,128,128,2048,1214976,0.995463
11.5,954583,128,128,128,128,913920,0.992932
11.6,934358,128,64,256,512,898560,0.992547
11.7,977393,128,1024,32,128,975360,0.993369
11.8,727965,32,128,256,32,720384,0.983174
11.9,1436010,2048,256,1024,512,1353216,0.996015
12.0,1700622,4096,1024,256,1024,1489920,0.996442
12.1,1423365,4096,128,256,1024,1416192,0.996027
12.2,1538159,4096,4096,64,32,1519104,0.996508
12.3,1749111,4096,4096,32,512,1519104,0.996508
12.4,1484205,4096,512,2048,256,1480704,0.996362
12.5,1186798,512,1024,32,64,1170432,0.995365
12.6,1383761,2048,256,2048,256,1357824,0.996014
12.7,886632,64,512,1024,128,883200,0.990307
12.8,1754647,4096,512,128,128,1454592,0.996362
12.9,1386480,2048,256,4096,4096,1370112,0.996015
13.0,1522009,4096,256,64,512,1426944,0.996246
13.1,1352621,2048,512,64,64,1348608,0.996139
13.2,816715,64,64,1024,256,811008,0.989535
13.3,1041499,256,128,256,64,1016832,0.994351
13.4,814226,64,128,32,2048,809472,0.98993
13.5,1435504,2048,256,2048,4096,1363968,0.996014
13.6,1741340,4096,4096,128,512,1531392,0.996508
13.7,1378695,2048,256,256,32,1334784,0.996014
13.8,752592,32,256,256,64,746496,0.983373
13.9,1555813,4096,1024,64,4096,1480704,0.996442
14.0,1760230,4096,4096,512,1024,1545216,0.996508
14.1,1696514,4096,4096,4096,256,1560576,0.996508
14.2,940411,128,256,64,2048,938496,0.993163
14.3,765527,64,32,128,64,764928,0.988696
14.4,1585334,2048,1024,32,32,1365504,0.996212
14.5,1180834,256,1024,128,32,1082880,0.99475
14.6,1500197,4096,512,256,4096,1468416,0.996362
14.7,1318618,1024,512,128,4096,1265664,0.9958
14.8,930868,128,64,1024,256,909312,0.992547
14.9,771142,64,32,256,32,769536,0.988697
15.0,1503351,2048,512,32,512,1347072,0.996139
15.1,1366750,1024,2048,2048,128,1331712,0.995923
15.2,1777566,4096,4096,2048,1024,1557504,0.996508
15.3,1696156,4096,2048,64,512,1500672,0.996487
15.4,1103107,256,1024,128,128,1085952,0.99475
15.5,1100553,256,512,512,512,1076736,0.99468
15.6,1222416,512,512,64,1024,1158144,0.995284
15.7,1528200,4096,1024,512,32,1488384,0.996443
15.8,1647110,4096,4096,512,512,1543680,0.996508
15.9,791101,64,32,32,1024,758784,0.988697
16.0,1543125,4096,4096,128,1024,1532928,0.996508
16.1,1762530,2048,2048,64,32,1396224,0.996259
16.2,868519,128,32,32,128,852480,0.991676
16.3,1462125,4096,512,128,512,1457664,0.996362
16.4,1279914,1024,256,2048,128,1257984,0.995681
16.5,1080290,256,1024,64,64,1078272,0.99475
16.6,807167,64,64,256,512,800256,0.989535
16.7,996604,128,256,64,1024,936960,0.993162
16.8,796739,64,64,64,32,781824,0.989535
16.9,1286784,1024,512,512,128,1270272,0.9958
17.0,1224859,512,1024,2048,64,1207296,0.995365
17.1,816081,64,128,32,32,800256,0.98993
17.2,1557473,4096,4096,32,32,1512960,0.996508
17.3,1193562,512,512,64,4096,1161216,0.995284
17.4,1223079,512,2048,512,32,1218048,0.995408
17.5,961571,128,512,32,1024,955392,0.993297
17.6,1053581,256,128,1024,32,1027584,0.994351
17.7,1226880,512,2048,256,256,1216512,0.995408
17.8,770561,32,512,64,2048,766464,0.983532
17.9,863984,128,32,32,512,855552,0.991676
18.0,1163942,512,512,64,256,1155072,0.995284
18.1,1624399,2048,4096,1024,64,1446912,0.996274
18.2,1438243,1024,4096,1024,32,1347072,0.995944
18.3,817852,64,64,64,256,786432,0.989535
18.4,1591388,4096,4096,2048,4096,1560576,0.996508
18.5,723047,32,128,32,32,701952,0.983173
18.6,726961,32,128,32,64,703488,0.983173
18.7,1096470,256,512,64,2048,1061376,0.99468
18.8,1121701,256,2048,64,256,1105920,0.994807
18.9,1282702,1024,1024,32,128,1270272,0.995879
19.0,822692,64,64,1024,32,806400,0.989536
19.1,978478,128,128,128,128,913920,0.992932
19.2,1129683,256,2048,128,32,1107456,0.994808
19.3,975011,128,512,32,2048,956928,0.993297
19.4,1383099,2048,512,128,1024,1360896,0.996139
19.5,879874,64,512,32,1024,857088,0.990307
19.6,1516823,4096,256,1024,32,1445376,0.996246
19.7,1598547,4096,4096,2048,128,1552896,0.996508
19.8,818328,64,128,64,4096,817152,0.989929
19.9,1502535,2048,4096,4096,1024,1465344,0.996274
