run_id,epoch,train_recon,train_vq,train_distill,val_recon,val_distill,best_val_recon,is_best,phase,channel_prob,learning_rate
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,45,0.05648283,0.17877485,0.02732997,0.05065472,0.02549140,0.05065472,1,Phase2-退火(40%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,46,0.05586935,0.17454763,0.02645982,0.05249234,0.02547537,0.05065472,0,Phase2-退火(42%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,47,0.05577693,0.17367072,0.02644594,0.05233481,0.02691715,0.05065472,0,Phase2-退火(43%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,48,0.05542426,0.17531282,0.02656501,0.04916286,0.02380067,0.04916286,1,Phase2-退火(45%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,49,0.05537740,0.17550443,0.02654609,0.05373209,0.02848388,0.04916286,0,Phase2-退火(47%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,50,0.05528470,0.18223719,0.02783457,0.04997326,0.02444832,0.04916286,0,Phase2-退火(48%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,51,0.05463008,0.17885570,0.02719111,0.05174273,0.02709217,0.04916286,0,Phase2-退火(50%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,52,0.05425398,0.17498864,0.02628874,0.05187292,0.02663615,0.04916286,0,Phase2-退火(52%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,53,0.05388333,0.17833115,0.02724583,0.04957011,0.02539083,0.04916286,0,Phase2-退火(53%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,54,0.05403801,0.17993811,0.02739188,0.04939320,0.02423002,0.04916286,0,Phase2-退火(55%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,55,0.05329929,0.17450355,0.02620757,0.05048108,0.02620690,0.04916286,0,Phase2-退火(57%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,56,0.05319116,0.17956872,0.02717201,0.04974165,0.02733735,0.04916286,0,Phase2-退火(58%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,57,0.05212257,0.16994265,0.02547536,0.04815295,0.02392033,0.04815295,1,Phase2-退火(60%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,58,0.05272201,0.17909147,0.02698163,0.04747309,0.02394793,0.04747309,1,Phase2-退火(62%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,59,0.05189942,0.17481277,0.02634547,0.04780665,0.02469683,0.04747309,0,Phase2-退火(63%),0.000000,5e-05
