epoch,stage,train_loss,val_psnr,val_mse_0_1,best_score,learning_rate,seconds
29,src_teacher,0.024445001655947308,24.223607301712036,0.00405898747703759,24.726409673690796,4.757815492431462e-05,204.33216619491577
30,src_teacher,0.024222935914445482,24.665943920612335,0.003711819626914803,24.726409673690796,4.741140494947374e-05,209.3909616470337
31,src_teacher,0.024055871795742076,24.055194199085236,0.004219204856781289,24.726409673690796,4.723943371460647e-05,209.75456261634827
32,src_teacher,0.02405617766169751,24.834014356136322,0.003573297733964864,24.834014356136322,4.706228365104176e-05,209.4692621231079
33,src_teacher,0.02381181610120385,24.527637541294098,0.003801500759436749,24.834014356136322,4.6879998467907044e-05,208.9267110824585
34,src_teacher,0.02373020500140331,24.874832928180695,0.003539588666171767,24.874832928180695,4.669262314134367e-05,209.11568570137024
35,src_teacher,0.023857893501078968,24.971836745738983,0.0034625750849954784,24.971836745738983,4.650020390340969e-05,210.89987635612488
36,src_teacher,0.023811626425579737,24.989845752716064,0.003459390194620937,24.989845752716064,4.630278823067286e-05,210.10764479637146
37,src_teacher,0.02344577155338648,24.854224979877472,0.0035407948817010038,24.989845752716064,4.610042483249643e-05,209.64713859558105
38,src_teacher,0.023508609107680847,25.21716606616974,0.0032900351798161864,25.21716606616974,4.589316363902084e-05,208.62794184684753
39,src_teacher,0.023493784183166187,25.064861238002777,0.00339197667199187,25.21716606616974,4.568105578884431e-05,206.12860703468323
40,src_teacher,0.02345181586940715,24.96726632118225,0.003453956793237012,25.21716606616974,4.5464153616405e-05,197.68384432792664
41,src_teacher,0.023648331953102713,25.204676568508148,0.003298279320006259,25.21716606616974,4.524251063906841e-05,206.3502848148346
42,src_teacher,0.023391704452228393,25.064776599407196,0.0033872978019644506,25.21716606616974,4.501618154392265e-05,209.17077088356018
43,src_teacher,0.023440532601511254,25.1995187997818,0.0032911055386648513,25.21716606616974,4.4785222174285336e-05,209.61044883728027
44,src_teacher,0.023442781126948926,25.04657655954361,0.0033941110159503296,25.21716606616974,4.4549689515925e-05,204.62416791915894
45,src_teacher,0.02347676221921161,25.14179491996765,0.003325517085613683,25.21716606616974,4.430964168300074e-05,198.8159728050232
46,src_teacher,0.023682386772048244,25.41660100221634,0.003143513240502216,25.41660100221634,4.406513790372342e-05,207.47092604637146
47,src_teacher,0.02357416942308245,25.403785467147827,0.00315482409496326,25.41660100221634,4.3816238505741987e-05,208.47012400627136
48,src_teacher,0.0235103912695271,25.36421090364456,0.0031814594112802297,25.41660100221634,4.3563004901258527e-05,206.26496386528015
49,src_teacher,0.02375252140529976,25.366322219371796,0.0031735863885842264,25.41660100221634,4.3305499571875736e-05,204.62775897979736
50,src_teacher,0.02355881317400402,25.441142320632935,0.0031332416110672057,25.441142320632935,4.304378605318051e-05,191.66086387634277
