run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,learning_rate
quality_v1_unet2_ds4x2_k64-003-resume,61,0.00765659,0.03466223,0.00698075,0.00654389,0,Phase2-退火(67%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,62,0.00757846,0.03455115,0.00715526,0.00654389,0,Phase2-退火(68%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,63,0.00756959,0.03435463,0.00710739,0.00654389,0,Phase2-退火(70%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,64,0.00745014,0.03429741,0.00709759,0.00654389,0,Phase2-退火(72%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,65,0.00744524,0.03425151,0.00693985,0.00654389,0,Phase2-退火(73%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,66,0.00750627,0.03480282,0.00698598,0.00654389,0,Phase2-退火(75%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,67,0.00736786,0.03453872,0.00871956,0.00654389,0,Phase2-退火(77%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,68,0.00720301,0.03423268,0.00685403,0.00654389,0,Phase2-退火(78%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,69,0.00724477,0.03410974,0.01017707,0.00654389,0,Phase2-退火(80%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,70,0.00724699,0.03421355,0.00766579,0.00654389,0,Phase2-退火(82%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,71,0.00716763,0.03415789,0.00805208,0.00654389,0,Phase2-退火(83%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,72,0.00968072,0.03861537,0.00679395,0.00654389,0,Phase2-退火(85%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,73,0.00728796,0.03470365,0.00658933,0.00654389,0,Phase2-退火(87%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,74,0.00692152,0.03392340,0.00641935,0.00641935,1,Phase2-退火(88%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,75,0.00687457,0.03381985,0.00906048,0.00641935,0,Phase2-退火(90%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,76,0.00679533,0.03350011,0.00643740,0.00641935,0,Phase2-退火(92%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,77,0.00677072,0.03354644,0.00665892,0.00641935,0,Phase2-退火(93%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,78,0.00663122,0.03314048,0.00931186,0.00641935,0,Phase2-退火(95%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,79,0.00659485,0.03321982,0.00738974,0.00641935,0,Phase2-退火(97%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,80,0.00657749,0.03311056,0.00651336,0.00641935,0,Phase2-退火(98%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,81,0.00657140,0.03321185,0.00669662,0.00641935,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,82,0.00650751,0.03323633,0.00641474,0.00641474,1,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,83,0.00688897,0.03390335,0.00650673,0.00641474,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,84,0.00643472,0.03278982,0.00602173,0.00602173,1,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,85,0.00646659,0.03288517,0.00647875,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,86,0.00640234,0.03283438,0.00837541,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,87,0.00691636,0.03357870,0.00611969,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,88,0.00637345,0.03257173,0.00722495,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,89,0.00634106,0.03240118,0.00669303,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,90,0.00630371,0.03247175,0.00618304,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,91,0.00650010,0.03296235,0.00678044,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,92,0.00632482,0.03253809,0.00659335,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,93,0.00631373,0.03246155,0.00607632,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,94,0.00704204,0.03365865,0.00650621,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,95,0.00627081,0.03253944,0.00625104,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,96,0.00616895,0.03217165,0.00625110,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,97,0.00651611,0.03260814,0.00610238,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,98,0.00614182,0.03207955,0.00682468,0.00602173,0,Phase3-微调,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,99,0.00615185,0.03208978,0.00673309,0.00602173,0,Phase3-微调,5e-05
