run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,learning_rate
auto-gn_v1_k64,130,0.00545927,0.04047587,0.00530613,0.00530613,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,131,0.00544352,0.04047202,0.00556000,0.00530613,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,132,0.00542335,0.04040425,0.00540897,0.00530613,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,133,0.00542076,0.04038352,0.00526559,0.00526559,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,134,0.00544113,0.04060137,0.00524467,0.00524467,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,135,0.00540059,0.04043434,0.00533380,0.00524467,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,136,0.00539265,0.04030869,0.00570748,0.00524467,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,137,0.00541849,0.04051967,0.00522752,0.00522752,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,138,0.00539890,0.04045623,0.00534268,0.00522752,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,139,0.00537429,0.04034793,0.00603197,0.00522752,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,140,0.00543665,0.04074637,0.00553508,0.00522752,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,141,0.00539721,0.04064471,0.00520124,0.00520124,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,142,0.00536488,0.04044315,0.00530762,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,143,0.00537571,0.04050271,0.00539300,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,144,0.00541229,0.04070850,0.00526784,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,145,0.00537259,0.04049854,0.00536229,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,146,0.00536604,0.04047861,0.00524223,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,147,0.00533183,0.04037091,0.00580707,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,148,0.00534716,0.04046098,0.00529045,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,149,0.00531130,0.04027151,0.00526882,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,150,0.00534812,0.04046904,0.00533461,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,151,0.00533714,0.04045555,0.00533853,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,152,0.00532967,0.04047742,0.00531305,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,153,0.00534515,0.04059070,0.00523002,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,154,0.00532706,0.04052507,0.00542129,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,155,0.00530410,0.04043671,0.00536517,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,156,0.00536138,0.04077716,0.00544091,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,157,0.00534995,0.04076981,0.00553626,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,158,0.00532422,0.04062719,0.00565818,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,159,0.00535200,0.04082853,0.00522835,0.00520124,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,160,0.00530153,0.04067047,0.00508952,0.00508952,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,161,0.00532811,0.04081430,0.00593723,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,162,0.00536699,0.04106203,0.00527691,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,163,0.00529491,0.04066968,0.00526192,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,164,0.00529893,0.04073525,0.00543978,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,165,0.00531085,0.04089676,0.00519048,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,166,0.00536630,0.04117187,0.00530031,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,167,0.00529854,0.04097835,0.00519510,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,168,0.00529973,0.04091653,0.00526161,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,169,0.00528757,0.04096264,0.00525651,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,170,0.00529124,0.04091076,0.00530377,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,171,0.00526318,0.04084215,0.00617227,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,172,0.00528995,0.04095735,0.00555691,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,173,0.00524779,0.04078455,0.00525630,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,174,0.00526671,0.04091370,0.00543788,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,175,0.00524367,0.04089650,0.00523190,0.00508952,0,Phase3-微调,2.5e-05
