run_id,epoch,train_recon,train_vq,train_total,val_recon,val_vq,val_psnr,val_ms_ssim,best_val_recon,is_best,phase,channel_prob,channel_usage_ratio,mean_channel_snr,source_bits_per_image,source_bpp,transmission_ratio,learning_rate
rq_ema_k4-2_d2-2_rate047-20260720-173341,59,0.02624540,0.02647735,0.05272276,0.02483621,0.02472586,22.09273547,0.88585620,0.02342256,0,Phase2-退火(63%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,60,0.02604902,0.02679726,0.05284628,0.02685159,0.02582664,21.74237130,0.87997472,0.02342256,0,Phase2-退火(65%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,61,0.02585241,0.02749583,0.05334824,0.02450031,0.02458834,22.18708930,0.89169909,0.02342256,0,Phase2-退火(67%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,62,0.02623695,0.02826998,0.05450693,0.02397422,0.02616393,22.24238081,0.89278912,0.02342256,0,Phase2-退火(68%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,63,0.02579724,0.02904727,0.05484451,0.02582676,0.02888640,21.93423885,0.88483803,0.02342256,0,Phase2-退火(70%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,64,0.02549293,0.03036789,0.05586082,0.02315828,0.03011761,22.39286559,0.89268834,0.02315828,1,Phase2-退火(72%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,65,0.02590397,0.03119901,0.05710298,0.02504024,0.03955097,22.06522213,0.88931180,0.02315828,0,Phase2-退火(73%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,66,0.02581081,0.03251131,0.05832212,0.03898916,0.03755767,20.12322894,0.87487903,0.02315828,0,Phase2-退火(75%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,67,0.02564054,0.03381280,0.05945334,0.02476844,0.03776051,22.11578272,0.88885522,0.02315828,0,Phase2-退火(77%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,68,0.02571603,0.03644382,0.06215986,0.02621448,0.03822712,21.85027632,0.87973638,0.02315828,0,Phase2-退火(78%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,69,0.02577653,0.03943948,0.06521602,0.02811545,0.04640768,21.56405068,0.88400559,0.02315828,0,Phase2-退火(80%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,70,0.02590037,0.04153080,0.06743117,0.02422378,0.03981027,22.20107627,0.88900917,0.02315828,0,Phase2-退火(82%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,71,0.02547361,0.03997591,0.06544953,0.02377323,0.02966150,22.27527234,0.88947976,0.02315828,0,Phase2-退火(83%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,72,0.02727754,0.02417610,0.05145364,0.04341365,0.02262452,19.69004046,0.86145707,0.02315828,0,Phase2-退火(85%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,73,0.02576110,0.01967777,0.04543887,0.02334783,0.01964977,22.36068051,0.89322640,0.02315828,0,Phase2-退火(87%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,74,0.02476004,0.01918456,0.04394460,0.02451273,0.01676964,22.14888477,0.89128543,0.02315828,0,Phase2-退火(88%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,75,0.02526699,0.01885596,0.04412294,0.02572781,0.02045923,21.97638310,0.89032553,0.02315828,0,Phase2-退火(90%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,76,0.02427454,0.01813637,0.04241091,0.03455375,0.01872949,20.66284333,0.86999493,0.02315828,0,Phase2-退火(92%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,77,0.02392511,0.01796904,0.04189415,0.02335056,0.01750208,22.36023518,0.89263606,0.02315828,0,Phase2-退火(93%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
