run_id,epoch,layer,depth,scope,codebook_size,active_ratio,active_count,dead_count,perplexity,commitment,residual_norm,restarted_codes,usage_counts,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
rq_ema_k4-2_d2-2_rate047-20260720-173341,150,0,1,depth,4,1.0000000000,4,0,2.1348104477,0.0493496340,0.2219745703,0,"[3468,221913,2866,263273]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,150,0,,aggregate,4,1.0000000000,4,0,3.8115301132,0.0540846256,0.2219745703,0,"[135259,282109,230288,335384]",3.4291059971,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,150,1,0,depth,2,1.0000000000,2,0,1.7288206816,0.0042358692,0.0650319068,0,"[29106,93774]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,150,1,1,depth,2,1.0000000000,2,0,1.5562951565,0.0035238738,0.0593284938,0,"[19857,103023]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,150,1,,aggregate,2,1.0000000000,2,0,1.6476243734,0.0038798715,0.0593284938,0,"[48963,196797]",3.4987571239,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,160,0,0,depth,4,1.0000000000,4,0,3.4753844738,0.0628223283,0.2504790246,0,"[143094,54062,220838,73526]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,160,0,1,depth,4,1.0000000000,4,0,2.1252615452,0.0522549886,0.2284424640,0,"[4094,213407,2198,271821]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,160,0,,aggregate,4,1.0000000000,4,0,3.8286824226,0.0575386585,0.2284424640,0,"[147188,267469,223036,345347]",3.3904430866,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,160,1,0,depth,2,1.0000000000,2,0,1.7914968729,0.0041824342,0.0645818369,0,"[33152,89728]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,160,1,1,depth,2,1.0000000000,2,0,1.6571216583,0.0035912503,0.0598635351,0,"[24994,97886]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,160,1,,aggregate,2,1.0000000000,2,0,1.7282773256,0.0038868422,0.0598635351,0,"[58146,187614]",3.4293220043,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,170,0,0,depth,4,1.0000000000,4,0,3.4567184448,0.0609959325,0.2467816807,0,"[143762,51996,222221,73541]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,170,0,1,depth,4,1.0000000000,4,0,2.1093168259,0.0512482578,0.2262072578,0,"[3835,207153,2009,278523]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,170,0,,aggregate,4,1.0000000000,4,0,3.8230206966,0.0561220951,0.2262072578,0,"[147597,259149,224230,352064]",3.4324007034,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,170,1,0,depth,2,1.0000000000,2,0,1.7991936207,0.0044663222,0.0667096920,0,"[33687,89193]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,170,1,1,depth,2,1.0000000000,2,0,1.6175919771,0.0038181921,0.0616976626,0,"[22903,99977]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,170,1,,aggregate,2,1.0000000000,2,0,1.7153149843,0.0041422571,0.0616976626,0,"[56590,189170]",3.5040533543,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,180,0,0,depth,4,1.0000000000,4,0,3.4521422386,0.0670514621,0.2587447740,0,"[145218,52775,222131,71396]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,180,0,1,depth,4,1.0000000000,4,0,2.1166152954,0.0558865208,0.2362168700,0,"[3618,219148,1943,266811]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,180,0,,aggregate,4,1.0000000000,4,0,3.8398950100,0.0614689915,0.2362168700,0,"[148836,271923,224074,338207]",3.4157063961,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,180,1,0,depth,2,1.0000000000,2,0,1.7585479021,0.0043143580,0.0656221058,0,"[30962,91918]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,180,1,1,depth,2,1.0000000000,2,0,1.6244875193,0.0037307088,0.0610370303,0,"[23260,99620]",,,,,
