run_id,epoch,layer,depth,scope,codebook_size,active_ratio,active_count,dead_count,perplexity,codebook_loss,commitment,residual_norm,projection_grad_norm,restarted_codes,usage_counts,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
residual_simvq_k16-4_d2-2_rate094-20260726-215551,70,1,1,depth,4,0.7500000000,3,1,2.1693129539,0.0032795354,0.0032795354,0.0571972813,,0,"[2481,0,65300,55099]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,70,1,,aggregate,4,1.0000000000,4,0,3.7418627739,0.0045774122,0.0045774122,0.0571972813,0.0001146002,0,"[32003,52039,91837,69881]",2.3216416836,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,80,0,0,depth,16,1.0000000000,16,0,13.8946790695,0.1258964237,0.1258964237,0.3545025840,,0,"[7097,21879,25412,8163,17861,33737,51166,34019,43432,53241,18004,18459,55459,20045,55484,28062]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,80,0,1,depth,16,1.0000000000,16,0,6.0047998428,0.0827588771,0.0827588771,0.2873489559,,0,"[30391,57035,4,31485,1124,147758,302,138917,19,4285,4531,3840,6069,995,48,64717]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,80,0,,aggregate,16,1.0000000000,16,0,12.3857774734,0.1043276504,0.1043276504,0.2873489559,0.0002350977,0,"[37488,78914,25416,39648,18985,181495,51468,172936,43451,57526,22535,22299,61528,21040,55532,92779]",4.1571974754,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,80,1,0,depth,4,1.0000000000,4,0,3.6754376888,0.0051744557,0.0051744557,0.0718590319,,0,"[41723,11724,38563,30870]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,80,1,1,depth,4,0.7500000000,3,1,2.0061585903,0.0038563140,0.0038563140,0.0620024854,,0,"[1915,0,82450,38515]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,80,1,,aggregate,4,1.0000000000,4,0,3.1834375858,0.0045153848,0.0045153848,0.0620024854,0.0001651478,0,"[43638,11724,121013,69385]",2.2504184246,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,90,0,0,depth,16,1.0000000000,16,0,13.8506364822,0.1187932305,0.1187932305,0.3443791002,,0,"[6418,20528,40438,6685,20260,35323,45229,29980,41939,54127,14500,19180,49502,19589,58695,29127]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,90,0,1,depth,16,1.0000000000,16,0,5.9149417877,0.0774026573,0.0774026576,0.2779088072,,0,"[31804,52167,4,28734,1039,150593,172,141440,9,5119,4028,4384,5034,1005,71,65917]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,90,0,,aggregate,16,1.0000000000,16,0,12.4073448181,0.0980979439,0.0980979441,0.2779088072,0.0001612298,0,"[38222,72695,40442,35419,21299,185916,45401,171420,41948,59246,18528,23564,54536,20594,58766,95044]",4.0692181587,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,90,1,0,depth,4,0.2500000000,1,3,1.0000000000,0.0046575854,0.0046575854,0.0680857522,,0,"[0,122880,0,0]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,90,1,1,depth,4,0.7500000000,3,1,2.0293962955,0.0020237177,0.0020237177,0.0447428096,,0,"[14523,0,94029,14328]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,90,1,,aggregate,4,1.0000000000,4,0,2.8491377831,0.0033406515,0.0033406515,0.0447428096,0.0001041308,0,"[14523,122880,94029,14328]",2.3738932610,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,100,0,0,depth,16,1.0000000000,16,0,13.9255418777,0.1200237475,0.1200237475,0.3461375177,,0,"[6212,21806,38311,6930,21759,35321,46281,31554,41511,53393,15815,18558,50388,18949,56928,27804]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,100,0,1,depth,16,1.0000000000,16,0,5.9381318092,0.0792480949,0.0792480953,0.2811858088,,0,"[30900,52705,2,31093,1077,148467,169,142778,8,4384,4538,4897,4777,941,58,64726]",,,,,
