SNR,Bit_Budget_Range,K1,K2,K3,K4,Actual_Bits,Best_Reward
2.1,700000-1800000,64,32,2048,512,794112,0.937013
2.2,700000-1800000,128,64,32,512,880128,0.95071
2.3,700000-1800000,256,128,128,1024,1016832,0.960489
2.4,700000-1800000,512,512,512,512,1175040,0.969929
2.5,700000-1800000,256,64,32,256,976896,0.977077
2.6,700000-1800000,512,64,64,512,1082880,0.982378
2.7,700000-1800000,512,512,128,512,1162752,0.986442
2.8,700000-1800000,512,2048,128,64,1207296,0.989302
2.9,700000-1800000,4096,4096,256,128,1534464,0.991582
3,700000-1800000,4096,1024,2048,4096,1511424,0.993356
3.1,700000-1800000,2048,4096,128,2048,1436160,0.994448
3.2,700000-1800000,4096,2048,1024,1024,1526784,0.995072
3.3,700000-1800000,4096,4096,2048,4096,1560576,0.995769
3.4,700000-1800000,4096,2048,32,32,1488384,0.995916
3.5,700000-1800000,4096,512,256,512,1463808,0.996009
3.6,700000-1800000,4096,1024,4096,64,1508352,0.996281
3.7,700000-1800000,4096,4096,4096,1024,1563648,0.996439
3.8,700000-1800000,4096,4096,4096,2048,1565184,0.996504
3.9,700000-1800000,4096,512,256,128,1460736,0.996409
4,700000-1800000,4096,1024,32,512,1469952,0.99642
4.1,700000-1800000,4096,4096,64,64,1520640,0.996526
4.2,700000-1800000,4096,4096,32,2048,1522176,0.996522
4.3,700000-1800000,4096,2048,256,128,1509888,0.996546
4.4,700000-1800000,4096,256,512,128,1442304,0.996365
4.5,700000-1800000,4096,256,64,4096,1431552,0.996335
4.6,700000-1800000,4096,4096,128,256,1529856,0.996575
4.7,700000-1800000,4096,4096,32,512,1519104,0.996524
4.8,700000-1800000,4096,1024,256,1024,1489920,0.996517
4.9,700000-1800000,4096,512,512,512,1469952,0.996444
5,700000-1800000,2048,1024,256,1024,1391616,0.996341
5.1,700000-1800000,4096,4096,2048,64,1551360,0.99658
5.2,700000-1800000,4096,2048,1024,1024,1526784,0.996555
5.3,700000-1800000,4096,512,256,32,1457664,0.996445
5.4,700000-1800000,2048,2048,128,1024,1410048,0.996376
5.5,700000-1800000,2048,2048,1024,128,1423872,0.996378
5.6,700000-1800000,4096,1024,2048,256,1505280,0.996519
5.7,700000-1800000,512,1024,128,512,1187328,0.99572
5.8,700000-1800000,4096,256,64,256,1425408,0.996335
5.9,700000-1800000,4096,1024,128,256,1480704,0.996515
6,700000-1800000,4096,2048,512,1024,1520640,0.996555
6.1,700000-1800000,2048,256,2048,32,1353216,0.996197
6.2,700000-1800000,4096,4096,4096,128,1559040,0.996578
6.3,700000-1800000,2048,2048,256,2048,1417728,0.996377
6.4,700000-1800000,2048,2048,64,512,1402368,0.996347
6.5,700000-1800000,4096,4096,128,64,1526784,0.996576
6.6,700000-1800000,4096,4096,512,32,1537536,0.996581
6.7,700000-1800000,4096,1024,2048,4096,1511424,0.996518
6.8,700000-1800000,2048,256,128,512,1334784,0.99619
6.9,700000-1800000,4096,2048,1024,64,1520640,0.996556
7,700000-1800000,4096,256,128,32,1426944,0.996369
7.1,700000-1800000,4096,4096,256,4096,1542144,0.996577
7.2,700000-1800000,4096,1024,1024,4096,1505280,0.996518
7.3,700000-1800000,4096,4096,1024,4096,1554432,0.996579
7.4,700000-1800000,4096,4096,256,128,1534464,0.996577
7.5,700000-1800000,4096,512,64,64,1446912,0.996414
7.6,700000-1800000,4096,4096,1024,64,1545216,0.996579
7.7,700000-1800000,4096,4096,2048,256,1554432,0.996579
7.8,700000-1800000,4096,4096,2048,256,1554432,0.996579
7.9,700000-1800000,4096,512,64,128,1448448,0.996413
8,700000-1800000,4096,4096,512,2048,1546752,0.996579
8.1,700000-1800000,2048,256,128,32,1328640,0.996193
8.2,700000-1800000,4096,2048,1024,1024,1526784,0.996555
8.3,700000-1800000,2048,256,256,64,1336320,0.996192
8.4,700000-1800000,2048,4096,4096,32,1457664,0.996405
8.5,700000-1800000,2048,2048,128,256,1406976,0.996376
8.6,700000-1800000,4096,256,4096,2048,1466880,0.996369
8.7,700000-1800000,4096,2048,64,4096,1505280,0.996523
8.8,700000-1800000,4096,2048,64,64,1496064,0.996524
8.9,700000-1800000,4096,128,4096,128,1436160,0.996186
9,700000-1800000,4096,2048,4096,1024,1539072,0.996555
9.1,700000-1800000,2048,4096,128,512,1433088,0.9964
9.2,700000-1800000,2048,2048,1024,4096,1431552,0.996379
